Tabla_q,2023-09-01 17:44:52.496321
1,1.4024718096791655,1.3869489181281849
2,9.202620056890567,9.165553335831795,9.149511872968294
3,6.7599316798115785,6.509024377223465
4,0.0,0.0
5,0.66957,0.45433263,0.4807839
6,0.0,0.0
7,1.4608361464601343,1.0965418101
8,1.112659743,1.0090371491699999,0.988445417739
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0
19,0.4710323606878428,0.4830738329352052
20,6.822487942929319,6.92794085910384,6.495975273938896
21,1.612297829832028,1.6183810676876584
22,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0
25,0.6874646342891009,0.6672183272372447
26,1.1463801757841912,1.1788891810920417,1.0966888285129068
27,1.0361121985985315,1.0318512055064935
28,0.0,0.0
29,0.0,0.0,0.0
30,0.2738019,0.167424813
31,0.0,0.0
32,0.0,0.0,0.0
33,0.3,0.381
34,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0
37,9.423529060076874,9.41344738313299
38,9.62014304623681,9.610177273535431,9.626086154918287
39,0.9785914763550845,2.611085203643564
40,0.0,0.0
41,0.0,0.1377,0.3
42,0.0,0.0
43,0.0,0.0
44,0.33903146530855816,0.3328915812035473,0.3596222363491543
45,0.9038815220298254,0.8408169288007791
46,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0
Tabla_prob,2023-09-01 17:44:52.496548
1,0.55,0.45
2,0.39999999999999997,0.3,0.3
3,0.55,0.45
4,0.55,0.45
5,0.39999999999999997,0.3,0.3
6,0.55,0.45
7,0.55,0.45
8,0.39999999999999997,0.3,0.3
9,0.55,0.45
10,0.5,0.5
11,0.3333333333333333,0.3333333333333333,0.3333333333333333
12,0.5,0.5
13,0.5,0.5
14,0.3333333333333333,0.3333333333333333,0.3333333333333333
15,0.5,0.5
16,0.5,0.5
17,0.3333333333333333,0.3333333333333333,0.3333333333333333
18,0.5,0.5
19,0.45,0.55
20,0.3,0.39999999999999997,0.3
21,0.45,0.55
22,0.5,0.5
23,0.39999999999999997,0.3,0.3
24,0.55,0.45
25,0.55,0.45
26,0.3,0.39999999999999997,0.3
27,0.55,0.45
28,0.5,0.5
29,0.39999999999999997,0.3,0.3
30,0.55,0.45
31,0.55,0.45
32,0.39999999999999997,0.3,0.3
33,0.45,0.55
34,0.5,0.5
35,0.3333333333333333,0.3333333333333333,0.3333333333333333
36,0.5,0.5
37,0.55,0.45
38,0.3,0.3,0.39999999999999997
39,0.45,0.55
40,0.5,0.5
41,0.3,0.3,0.39999999999999997
42,0.55,0.45
43,0.55,0.45
44,0.3,0.3,0.39999999999999997
45,0.55,0.45
46,0.5,0.5
47,0.3333333333333333,0.3333333333333333,0.3333333333333333
48,0.55,0.45
49,0.55,0.45
50,0.39999999999999997,0.3,0.3
51,0.5,0.5
52,0.5,0.5
53,0.3333333333333333,0.3333333333333333,0.3333333333333333
54,0.55,0.45
Tabla_pi,2023-09-01 17:44:52.496739
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,1
21,1
22,0
23,0
24,0
25,0
26,1
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,0
35,0
36,0
37,0
38,2
39,1
40,0
41,2
42,0
43,0
44,2
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
